Gene_ID	KO_ID	Description	Pathway	Pathway Function	Major_Group
evm.model.CP144697.1_RagTag.914	K13126	PABPC; polyadenylate-binding protein	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.3801	K13126	PABPC; polyadenylate-binding protein	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.919	K12616	EDC4; enhancer of mRNA-decapping protein 4	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.1950	K12616	EDC4; enhancer of mRNA-decapping protein 4	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.1575	K12617	PATL1, PAT1; DNA topoisomerase 2-associated protein PAT1	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144693.1_RagTag.1690	K12617	PATL1, PAT1; DNA topoisomerase 2-associated protein PAT1	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.3706	K12617	PATL1, PAT1; DNA topoisomerase 2-associated protein PAT1	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.contig_1467.1	K12617	PATL1, PAT1; DNA topoisomerase 2-associated protein PAT1	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2648	K12619	XRN2, RAT1; 5'-3' exoribonuclease 2 [EC:3.1.13.-]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.839	K12619	XRN2, RAT1; 5'-3' exoribonuclease 2 [EC:3.1.13.-]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144697.1_RagTag.2360	K01689	ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.724	K01689	ENO1_2_3, eno; enolase 1/2/3 [EC:4.2.1.11]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144697.1_RagTag.1874	K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144689.1_RagTag.106	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.2993	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144693.1_RagTag.851	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144693.1_RagTag.231	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.1502	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.2832	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144697.1_RagTag.2463	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.382	K04043	dnaK, HSPA9; molecular chaperone DnaK	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.2827	K04077	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.3597	K04077	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2840	K04077	groEL, HSPD1, HSP60, CPN60; chaperonin GroEL [EC:5.6.1.7]	RNA degradation	09123 Folding, sorting and degradation	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.2100	K02343	dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.contig_2475.2	K03111	ssb; single-strand DNA-binding protein	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.370	K02335	polA; DNA polymerase I [EC:2.7.7.7]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.2301	K01972	E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144695.1_RagTag.3701	K02323	polB; DNA polymerase II small subunit [EC:2.7.7.7]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.2564	K07466	RFA1, RPA1, rpa; replication factor A1	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.739	K07466	RFA1, RPA1, rpa; replication factor A1	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.317	K07466	RFA1, RPA1, rpa; replication factor A1	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.1873	K04802	PCNA; proliferating cell nuclear antigen	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.3099	K04799	FEN1, RAD2; flap endonuclease-1 [EC:3.1.-.-]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2805	K10747	LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2804	K10747	LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.1074	K02320	POLA1; DNA polymerase alpha subunit A [EC:2.7.7.7]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.3400	K02320	POLA1; DNA polymerase alpha subunit A [EC:2.7.7.7]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.1634	K02320	POLA1; DNA polymerase alpha subunit A [EC:2.7.7.7]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.contig_3535.1	K02685	PRI2; DNA primase large subunit	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.2294	K02327	POLD1; DNA polymerase delta subunit 1 [EC:2.7.7.7]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.3194	K02328	POLD2; DNA polymerase delta subunit 2	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.1988	K03504	POLD3; DNA polymerase delta subunit 3	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.1188	K03505	POLD4; DNA polymerase delta subunit 4	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.1258	K03505	POLD4; DNA polymerase delta subunit 4	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.730	K02324	POLE; DNA polymerase epsilon subunit 1 [EC:2.7.7.7]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.1289	K02540	MCM2; DNA replication licensing factor MCM2 [EC:5.6.2.3]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.2094	K02541	MCM3; DNA replication licensing factor MCM3 [EC:5.6.2.3]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.962	K02209	MCM5, CDC46; DNA replication licensing factor MCM5 [EC:5.6.2.3]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.171	K02542	MCM6; DNA replication licensing factor MCM6 [EC:5.6.2.3]	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.1078	K10739	RFA2, RPA2; replication factor A2	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.4417	K10740	RPA3; replication factor A3	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2569	K10754	RFC1; replication factor C subunit 1	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.461	K10755	RFC2_4; replication factor C subunit 2/4	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.1022	K10745	RNASEH2C; ribonuclease H2 subunit C	DNA replication	09124 Replication and repair	09120 Genetic Information Processing
evm.model.contig_4136.8	K03660	OGG1; N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144697.1_RagTag.1954	K10773	NTHL1, nth; endonuclease III [EC:3.2.2.- 4.2.99.18]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144698.1_RagTag.1914	K10567	NEIL1; endonuclease VIII-like 1 [EC:3.2.2.- 4.2.99.18]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.3320	K03648	UNG, UDG; uracil-DNA glycosylase [EC:3.2.2.27]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144698.1_RagTag.154	K03575	mutY; A/G-specific adenine glycosylase [EC:3.2.2.31]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144695.1_RagTag.2450	K03652	MPG; DNA-3-methyladenine glycosylase [EC:3.2.2.21]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.519	K08073	PNKP; bifunctional polynucleotide phosphatase/kinase [EC:3.1.3.32 2.7.1.78]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.contig_1508.2	K10862	TDP1; tyrosyl-DNA phosphodiesterase 1 [EC:3.1.4.-]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144695.1_RagTag.2278	K24070	PARP1; poly [ADP-ribose] polymerase 1 [EC:2.4.2.30]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2699	K10798	PARP3_4; protein mono-ADP-ribosyltransferase 3/4 [EC:2.4.2.-]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.3133	K10798	PARP3_4; protein mono-ADP-ribosyltransferase 3/4 [EC:2.4.2.-]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144698.1_RagTag.1751	K07759	PARG; poly(ADP-ribose) glycohydrolase [EC:3.2.1.143]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.1814	K10863	APTX; aprataxin [EC:3.6.1.70 3.6.1.71 3.6.1.72]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144698.1_RagTag.1419	K10863	APTX; aprataxin [EC:3.6.1.70 3.6.1.71 3.6.1.72]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.contig_2014.2	K10803	XRCC1; DNA-repair protein XRCC1	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.3749	K02332	POLG; DNA polymerase gamma 1 [EC:2.7.7.7]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.2294	K02327	POLD1; DNA polymerase delta subunit 1 [EC:2.7.7.7]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.3194	K02328	POLD2; DNA polymerase delta subunit 2	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.1988	K03504	POLD3; DNA polymerase delta subunit 3	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.1188	K03505	POLD4; DNA polymerase delta subunit 4	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.1258	K03505	POLD4; DNA polymerase delta subunit 4	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.730	K02324	POLE; DNA polymerase epsilon subunit 1 [EC:2.7.7.7]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.1873	K04802	PCNA; proliferating cell nuclear antigen	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2569	K10754	RFC1; replication factor C subunit 1	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.461	K10755	RFC2_4; replication factor C subunit 2/4	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.3099	K04799	FEN1, RAD2; flap endonuclease-1 [EC:3.1.-.-]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2805	K10747	LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2804	K10747	LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144693.1_RagTag.1532	K01246	tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.988	K01246	tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.4366	K01246	tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.1552	K01142	xthA, xth; exodeoxyribonuclease III [EC:3.1.11.2]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.contig_3349.1	K01142	xthA, xth; exodeoxyribonuclease III [EC:3.1.11.2]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.370	K02335	polA; DNA polymerase I [EC:2.7.7.7]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.2301	K01972	E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]	Base excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.4033	K03702	uvrB; excinuclease ABC subunit B	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.370	K02335	polA; DNA polymerase I [EC:2.7.7.7]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.2301	K01972	E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.3291	K03868	RBX1, ROC1; E3 ubiquitin-protein ligase RBX1 [EC:2.3.2.32]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2514	K03868	RBX1, ROC1; E3 ubiquitin-protein ligase RBX1 [EC:2.3.2.32]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144695.1_RagTag.4204	K10609	CUL4; cullin 4	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.1346	K10610	DDB1; DNA damage-binding protein 1	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.1625	K10140	DDB2; DNA damage-binding protein 2	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.851	K10838	XPC; xeroderma pigmentosum group C-complementing protein	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144693.1_RagTag.36	K10839	RAD23, HR23; UV excision repair protein RAD23	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.3754	K10570	ERCC8, CKN1, CSA; DNA excision repair protein ERCC-8	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.2496	K10841	ERCC6, CSB, RAD26; DNA excision repair protein ERCC-6	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.1139	K23720	UVSSA; UV-stimulated scaffold protein A	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.2370	K03006	RPB1, POLR2A; DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.299	K03010	RPB2, POLR2B; DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.3695	K03012	RPB4, POLR2D; DNA-directed RNA polymerase II subunit RPB4	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144697.1_RagTag.2008	K03013	RPABC1, RPB5, POLR2E; DNA-directed RNA polymerases I, II, and III subunit RPABC1	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.968	K03014	RPABC2, RPB6, POLR2F; DNA-directed RNA polymerases I, II, and III subunit RPABC2	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144695.1_RagTag.2920	K03016	RPABC3, RPB8, POLR2H; DNA-directed RNA polymerases I, II, and III subunit RPABC3	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.1793	K03009	RPABC4, RPB12, POLR2K; DNA-directed RNA polymerases I, II, and III subunit RPABC4	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144698.1_RagTag.721	K03009	RPABC4, RPB12, POLR2K; DNA-directed RNA polymerases I, II, and III subunit RPABC4	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144697.1_RagTag.2137	K02202	CDK7; cyclin-dependent kinase 7 [EC:2.7.11.22 2.7.11.23]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.4201	K10842	MNAT1; CDK-activating kinase assembly factor MAT1	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.1264	K10843	ERCC3, XPB; DNA excision repair protein ERCC-3 [EC:5.6.2.4]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.contig_3348.10	K10844	ERCC2, XPD; DNA excision repair protein ERCC-2 [EC:5.6.2.3]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144695.1_RagTag.1618	K03142	TFIIH2, GTF2H2, SSL1; transcription initiation factor TFIIH subunit 2	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144695.1_RagTag.2650	K03142	TFIIH2, GTF2H2, SSL1; transcription initiation factor TFIIH subunit 2	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144695.1_RagTag.3214	K10846	ERCC5, XPG, RAD2; DNA excision repair protein ERCC-5	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.2564	K07466	RFA1, RPA1, rpa; replication factor A1	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.739	K07466	RFA1, RPA1, rpa; replication factor A1	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.317	K07466	RFA1, RPA1, rpa; replication factor A1	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.1078	K10739	RFA2, RPA2; replication factor A2	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.4417	K10740	RPA3; replication factor A3	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.2011	K10848	ERCC4, XPF; DNA excision repair protein ERCC-4 [EC:3.1.-.-]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.2294	K02327	POLD1; DNA polymerase delta subunit 1 [EC:2.7.7.7]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.3194	K02328	POLD2; DNA polymerase delta subunit 2	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.1988	K03504	POLD3; DNA polymerase delta subunit 3	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.1188	K03505	POLD4; DNA polymerase delta subunit 4	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.1258	K03505	POLD4; DNA polymerase delta subunit 4	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.730	K02324	POLE; DNA polymerase epsilon subunit 1 [EC:2.7.7.7]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.1873	K04802	PCNA; proliferating cell nuclear antigen	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2569	K10754	RFC1; replication factor C subunit 1	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.461	K10755	RFC2_4; replication factor C subunit 2/4	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2805	K10747	LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2804	K10747	LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	Nucleotide excision repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.3850	K07456	mutS2; DNA mismatch repair protein MutS2	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.5288	K07456	mutS2; DNA mismatch repair protein MutS2	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.contig_2475.2	K03111	ssb; single-strand DNA-binding protein	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.2100	K02343	dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.2301	K01972	E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.2893	K10858	PMS2; DNA mismatch repair protein PMS2	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144697.1_RagTag.2037	K08737	MSH6; DNA mismatch repair protein MSH6	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.2425	K08739	MLH3; DNA mismatch repair protein MLH3	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2569	K10754	RFC1; replication factor C subunit 1	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.461	K10755	RFC2_4; replication factor C subunit 2/4	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.1873	K04802	PCNA; proliferating cell nuclear antigen	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.contig_3638.7	K10746	EXO1; exonuclease 1 [EC:3.1.-.-]	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.2564	K07466	RFA1, RPA1, rpa; replication factor A1	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.739	K07466	RFA1, RPA1, rpa; replication factor A1	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.317	K07466	RFA1, RPA1, rpa; replication factor A1	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.1078	K10739	RFA2, RPA2; replication factor A2	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.4417	K10740	RPA3; replication factor A3	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.2294	K02327	POLD1; DNA polymerase delta subunit 1 [EC:2.7.7.7]	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.3194	K02328	POLD2; DNA polymerase delta subunit 2	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144699.1_RagTag.1988	K03504	POLD3; DNA polymerase delta subunit 3	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144692.1_RagTag.1188	K03505	POLD4; DNA polymerase delta subunit 4	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.1258	K03505	POLD4; DNA polymerase delta subunit 4	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2805	K10747	LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144694.1_RagTag.2804	K10747	LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]	Mismatch repair	09124 Replication and repair	09120 Genetic Information Processing
evm.model.contig_2475.2	K03111	ssb; single-strand DNA-binding protein	Homologous recombination	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144700.1_RagTag.2460	K03553	recA; recombination protein RecA	Homologous recombination	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144690.1_RagTag.370	K02335	polA; DNA polymerase I [EC:2.7.7.7]	Homologous recombination	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144696.1_RagTag.3659	K03655	recG; ATP-dependent DNA helicase RecG [EC:5.6.2.4]	Homologous recombination	09124 Replication and repair	09120 Genetic Information Processing
evm.model.contig_2352.2	K03581	recD; exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]	Homologous recombination	09124 Replication and repair	09120 Genetic Information Processing
evm.model.CP144691.1_RagTag.2100	K02343	dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]	Homologous recombination	09124 Replication and repair	09120 Genetic Information Processing
