Gene_Name	GO_ID	GO_Name	GO_Annotation	GO_Aspect
evm.model.CP144696.1_RagTag.2182	GO:0005179	hormone activity	The action characteristic of a hormone, any substance formed in very small amounts in one specialized organ or group of cells and carried (sometimes in the bloodstream) to another organ or group of cells in the same organism, upon which it has a specific regulatory action. The term was originally applied to agents with a stimulatory physiological action in vertebrate animals (as opposed to a chalone, which has a depressant action). Usage is now extended to regulatory compounds in lower animals and plants, and to synthetic substances having comparable effects; all bind receptors and trigger some biological process.	molecular_function
evm.model.CP144691.1_RagTag.3545	GO:0080043	quercetin 3-O-glucosyltransferase activity	Catalysis of the transfer of a glucosyl group from UDP-glucose to the 3-hydroxy group of a quercetin molecule.	molecular_function
evm.model.CP144700.1_RagTag.4435	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144695.1_RagTag.1735	GO:0003700	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	molecular_function
evm.model.CP144696.1_RagTag.497	GO:0000785	chromatin	The ordered and organized complex of DNA, protein, and sometimes RNA, that forms the chromosome.	cellular_component
evm.model.CP144699.1_RagTag.2345	GO:0061630	ubiquitin protein ligase activity	Catalysis of the transfer of ubiquitin to a substrate protein via the reaction X-ubiquitin + S = X + S-ubiquitin, where X is either an E2 or E3 enzyme, the X-ubiquitin linkage is a thioester bond, and the S-ubiquitin linkage is an amide bond: an isopeptide bond between the C-terminal glycine of ubiquitin and the epsilon-amino group of lysine residues in the substrate or, in the linear extension of ubiquitin chains, a peptide bond the between the C-terminal glycine and N-terminal methionine of ubiquitin residues.	molecular_function
evm.model.CP144700.1_RagTag.4364	GO:0006656	phosphatidylcholine biosynthetic process	The chemical reactions and pathways resulting in the formation of phosphatidylcholines, any of a class of glycerophospholipids in which the phosphatidyl group is esterified to the hydroxyl group of choline.	biological_process
evm.model.CP144692.1_RagTag.4155	GO:0000993	RNA polymerase II complex binding	Binding to an RNA polymerase II core enzyme, a multisubunit eukaryotic nuclear RNA polymerase typically composed of twelve subunits.	molecular_function
evm.model.CP144693.1_RagTag.2085	GO:0003700	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	molecular_function
evm.model.CP144693.1_RagTag.1021	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144696.1_RagTag.163	GO:0016757	glycosyltransferase activity	Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor).	molecular_function
evm.model.CP144700.1_RagTag.5282	GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.	molecular_function
evm.model.CP144690.1_RagTag.2235	GO:0003676	nucleic acid binding	Binding to a nucleic acid.	molecular_function
evm.model.CP144693.1_RagTag.1453	GO:0005783	endoplasmic reticulum	The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached).	cellular_component
evm.model.CP144694.1_RagTag.3560	GO:0005783	endoplasmic reticulum	The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached).	cellular_component
evm.model.CP144696.1_RagTag.2288	GO:0016491	oxidoreductase activity	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.	molecular_function
evm.model.CP144691.1_RagTag.1464	GO:0009506	plasmodesma	A fine cytoplasmic channel, found in all higher plants, that connects the cytoplasm of one cell to that of an adjacent cell.	cellular_component
evm.model.CP144696.1_RagTag.145	GO:0005829	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.	cellular_component
evm.model.CP144700.1_RagTag.4686	GO:0016567	protein ubiquitination	The process in which one or more ubiquitin groups are added to a protein.	biological_process
evm.model.contig_2031.7	GO:0005730	nucleolus	A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.	cellular_component
evm.model.CP144700.1_RagTag.33	GO:0048364	root development	The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo.	biological_process
evm.model.CP144693.1_RagTag.1706	GO:0003723	RNA binding	Binding to an RNA molecule or a portion thereof.	molecular_function
evm.model.CP144695.1_RagTag.2912	GO:0043231	intracellular membrane-bounded organelle	Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane.	cellular_component
evm.model.CP144700.1_RagTag.80	GO:0005819	spindle	The array of microtubules and associated molecules that forms between opposite poles of a eukaryotic cell during mitosis or meiosis and serves to move the duplicated chromosomes apart.	cellular_component
evm.model.CP144700.1_RagTag.4464	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144699.1_RagTag.3951	GO:0000813	ESCRT I complex	An endosomal sorting complex required for transport. It consists of the class E vacuolar protein sorting (Vps) proteins and interacts with ubiquitinated cargoes.	cellular_component
evm.model.CP144700.1_RagTag.4519	GO:0003676	nucleic acid binding	Binding to a nucleic acid.	molecular_function
evm.model.CP144693.1_RagTag.291	GO:0008252	nucleotidase activity	Catalysis of the reaction: a nucleotide + H2O = a nucleoside + phosphate.	molecular_function
evm.model.CP144690.1_RagTag.2378	GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.	molecular_function
evm.model.CP144695.1_RagTag.9	GO:0000398	mRNA splicing, via spliceosome	The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.	biological_process
evm.model.CP144698.1_RagTag.1914	GO:0003700	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	molecular_function
evm.model.CP144700.1_RagTag.1042	GO:0005789	endoplasmic reticulum membrane	The lipid bilayer surrounding the endoplasmic reticulum.	cellular_component
evm.model.CP144696.1_RagTag.27	GO:0009507	chloroplast	A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.	cellular_component
evm.model.CP144690.1_RagTag.1451	GO:1900150	regulation of defense response to fungus	Any process that modulates the frequency, rate or extent of defense response to fungus.	biological_process
evm.model.CP144694.1_RagTag.798	GO:0000172	ribonuclease MRP complex	A ribonucleoprotein complex that contains an RNA molecule of the snoRNA family, and cleaves the rRNA precursor as part of rRNA transcript processing. It also has other roles: In S. cerevisiae it is involved in cell cycle-regulated degradation of daughter cell-specific mRNAs, while in mammalian cells it also enters the mitochondria and processes RNAs to create RNA primers for DNA replication.	cellular_component
evm.model.CP144695.1_RagTag.2660	GO:0003700	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	molecular_function
evm.model.CP144695.1_RagTag.381	GO:0005802	trans-Golgi network	The network of interconnected tubular and cisternal structures located within the Golgi apparatus on the side distal to the endoplasmic reticulum, from which secretory vesicles emerge. The trans-Golgi network is important in the later stages of protein secretion where it is thought to play a key role in the sorting and targeting of secreted proteins to the correct destination.	cellular_component
evm.model.CP144694.1_RagTag.3163	GO:0005504	fatty acid binding	Binding to a fatty acid, an aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis.	molecular_function
evm.model.CP144690.1_RagTag.388	GO:0003680	minor groove of adenine-thymine-rich DNA binding	Binding to a DNA structure formed by the minor groove of adenine-thymine-rich DNA regions. Examples of proteins having this function are AT-rich interaction domain (ARID)-containing proteins.	molecular_function
evm.model.CP144697.1_RagTag.1364	GO:0003676	nucleic acid binding	Binding to a nucleic acid.	molecular_function
evm.model.CP144696.1_RagTag.577	GO:0000287	magnesium ion binding	Binding to a magnesium (Mg) ion.	molecular_function
evm.model.CP144695.1_RagTag.284	GO:0003677	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
evm.model.CP144691.1_RagTag.2574	GO:0010088	phloem development	The formation of the principal food-conducting tissue of a vascular plant.	biological_process
evm.model.CP144695.1_RagTag.3594	GO:0035267	NuA4 histone acetyltransferase complex	A complex having histone acetylase activity on chromatin, as well as ATPase, DNA helicase and structural DNA binding activities. The complex is thought to be involved in double-strand DNA break repair. Subunits of the human complex include HTATIP/TIP60, TRRAP, RUVBL1, BUVBL2, beta-actin and BAF53/ACTL6A. In yeast, the complex has 13 subunits, including the catalytic subunit Esa1 (homologous to human Tip60).	cellular_component
evm.model.CP144700.1_RagTag.6093	GO:0005773	vacuole	A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol.	cellular_component
evm.model.CP144700.1_RagTag.5763	GO:0000045	autophagosome assembly	The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm.	biological_process
evm.model.CP144696.1_RagTag.735	GO:0008356	asymmetric cell division	The asymmetric division of cells to produce two daughter cells with different developmental potentials. It is of fundamental significance for the generation of cell diversity.	biological_process
evm.model.CP144699.1_RagTag.712	GO:0034244	negative regulation of transcription elongation by RNA polymerase II	Any process that stops, prevents, or reduces the frequency, rate or extent of transcription elongation, the extension of an RNA molecule after transcription initiation and promoter clearance by the addition of ribonucleotides, catalyzed by RNA polymerase II.	biological_process
evm.model.CP144696.1_RagTag.2547	GO:0004402	histone acetyltransferase activity	Catalysis of the reaction: acetyl-CoA + histone = CoA + acetyl-histone.	molecular_function
evm.model.CP144695.1_RagTag.1586	GO:0005680	anaphase-promoting complex	A ubiquitin ligase complex that degrades mitotic cyclins and anaphase inhibitory protein, thereby triggering sister chromatid separation and exit from mitosis. Substrate recognition by APC occurs through degradation signals, the most common of which is termed the Dbox degradation motif, originally discovered in cyclin B.	cellular_component
evm.model.CP144700.1_RagTag.311	GO:0045892	negative regulation of DNA-templated transcription	Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription.	biological_process
evm.model.CP144690.1_RagTag.230	GO:0005388	P-type calcium transporter activity	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + Ca2+(in) = ADP + phosphate + Ca2+(out).	molecular_function
evm.model.CP144692.1_RagTag.2800	GO:0005261	monoatomic cation channel activity	Enables the energy-independent facilitated diffusion of a monoatomic cation through a transmembrane aqueous pore or channel.	molecular_function
evm.model.CP144690.1_RagTag.3062	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144693.1_RagTag.525	GO:0016405	CoA-ligase activity	Catalysis of the reaction: substrate + ATP + CoASH = AMP + diphosphate + substrate-CoA.	molecular_function
evm.model.CP144695.1_RagTag.3932	GO:0005739	mitochondrion	A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.	cellular_component
evm.model.CP144692.1_RagTag.4143	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.contig_275.4	GO:0080143	regulation of amino acid export	Any process that modulates the frequency, rate or extent of amino acid export. Amino acid export is the directed movement of amino acids out of a cell or organelle.	biological_process
evm.model.CP144695.1_RagTag.661	GO:0005829	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.	cellular_component
evm.model.CP144695.1_RagTag.750	GO:0090173	regulation of synaptonemal complex assembly	Any process that modulates the frequency, rate or extent of synaptonemal complex assembly. Synaptonemal complex assembly is the cell cycle process in which the synaptonemal complex, a structure that holds paired chromosomes together during prophase I of meiosis and that promotes genetic recombination, is formed.	biological_process
evm.model.CP144697.1_RagTag.1803	GO:0006952	defense response	Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack.	biological_process
evm.model.CP144693.1_RagTag.1989	GO:0003743	translation initiation factor activity	Functions in the initiation of ribosome-mediated translation of mRNA into a polypeptide.	molecular_function
evm.model.CP144693.1_RagTag.83	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
evm.model.CP144695.1_RagTag.449	GO:0043531	ADP binding	Binding to ADP, adenosine 5'-diphosphate.	molecular_function
evm.model.CP144694.1_RagTag.2343	GO:0005783	endoplasmic reticulum	The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached).	cellular_component
evm.model.CP144696.1_RagTag.3601	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144691.1_RagTag.2758	GO:0003824	catalytic activity	Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.	molecular_function
evm.model.CP144691.1_RagTag.1857	GO:0051015	actin filament binding	Binding to an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits.	molecular_function
evm.model.CP144698.1_RagTag.1893	GO:0005829	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.	cellular_component
evm.model.CP144700.1_RagTag.2199	GO:0006508	proteolysis	The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.	biological_process
evm.model.CP144695.1_RagTag.4641	GO:0003676	nucleic acid binding	Binding to a nucleic acid.	molecular_function
evm.model.CP144700.1_RagTag.1815	GO:0003746	translation elongation factor activity	Functions in chain elongation during polypeptide synthesis at the ribosome.	molecular_function
evm.model.CP144700.1_RagTag.6010	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144697.1_RagTag.3208	GO:0000127	transcription factor TFIIIC complex	A heterotrimeric transcription factor complex that is involved in regulating transcription from RNA polymerase III (Pol III) promoters. TFIIIC contains three conserved subunits that associate with the proximal Pol III promoter element, and additional subunits that associate with sequence elements downstream of the promoter and are more diverged among species. It also functions as a boundary element to partition genome content into distinct domains outside Pol III promoter regions.	cellular_component
evm.model.CP144697.1_RagTag.1417	GO:0009638	phototropism	The movement of an organism, or part of an organism, in response to a light stimulus, usually toward or away from it.	biological_process
evm.model.CP144695.1_RagTag.579	GO:0000373	Group II intron splicing	The splicing of Group II introns. This occurs by a ribozymic mechanism where the intron sequence forms a distinct 3D structure, characteristic of Group II introns and containing splice site consensus sequences, that is involved in catalyzing the splicing reactions, though protein factors are also required in vivo. Splicing occurs by a series of two transesterification reactions (mechanistically similar to those for splicing of nuclear mRNAs) initiated by a bulged adenosine residue within the intron sequence as the initiating nucleophile. The intron is excised as a lariat.	biological_process
evm.model.CP144697.1_RagTag.260	GO:0016020	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
evm.model.CP144691.1_RagTag.915	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144700.1_RagTag.761	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144696.1_RagTag.933	GO:0016226	iron-sulfur cluster assembly	The incorporation of iron and exogenous sulfur into a metallo-sulfur cluster.	biological_process
evm.model.CP144700.1_RagTag.447	GO:0009694	jasmonic acid metabolic process	The chemical reactions and pathways involving jasmonic acid, a fatty acid derivative with the formula (1R-(1 alpha, 2 beta(Z)))-3-oxo-2-(2-pentenyl)cyclopentaneacetic acid.	biological_process
evm.model.CP144700.1_RagTag.5920	GO:0005829	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.	cellular_component
evm.model.CP144699.1_RagTag.1219	GO:0016592	mediator complex	A protein complex that interacts with the carboxy-terminal domain of the largest subunit of RNA polymerase II and plays an active role in transducing the signal from a transcription factor to the transcriptional machinery. The mediator complex is required for activation of transcription of most protein-coding genes, but can also act as a transcriptional corepressor. The Saccharomyces complex contains several identifiable subcomplexes: a head domain comprising Srb2, -4, and -5, Med6, -8, and -11, and Rox3 proteins; a middle domain comprising Med1, -4, and -7, Nut1 and -2, Cse2, Rgr1, Soh1, and Srb7 proteins; a tail consisting of Gal11p, Med2p, Pgd1p, and Sin4p; and a regulatory subcomplex comprising Ssn2, -3, and -8, and Srb8 proteins. Metazoan mediator complexes have similar modular structures and include homologs of yeast Srb and Med proteins.	cellular_component
evm.model.CP144696.1_RagTag.2012	GO:0000014	single-stranded DNA endodeoxyribonuclease activity	Catalysis of the hydrolysis of ester linkages within a single-stranded deoxyribonucleic acid molecule by creating internal breaks.	molecular_function
evm.model.CP144694.1_RagTag.1050	GO:0016491	oxidoreductase activity	Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.	molecular_function
evm.model.CP144696.1_RagTag.2923	GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.	molecular_function
evm.model.CP144692.1_RagTag.984	GO:0006486	protein glycosylation	A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins.	biological_process
evm.model.CP144699.1_RagTag.461	GO:0005634	nucleus	A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.	cellular_component
evm.model.CP144694.1_RagTag.1145	GO:0005773	vacuole	A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol.	cellular_component
evm.model.CP144697.1_RagTag.1768	GO:0005524	ATP binding	Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.	molecular_function
evm.model.CP144695.1_RagTag.2143	GO:0008195	phosphatidate phosphatase activity	Catalysis of the reaction: a 1,2-diacylglycerol 3-phosphate + H2O = a 1,2-diacyl-sn-glycerol + phosphate.	molecular_function
evm.model.CP144692.1_RagTag.530	GO:0005730	nucleolus	A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.	cellular_component
evm.model.CP144700.1_RagTag.5651	GO:0003924	GTPase activity	Catalysis of the reaction: GTP + H2O = GDP + H+ + phosphate.	molecular_function
evm.model.CP144692.1_RagTag.3595	GO:0004364	glutathione transferase activity	Catalysis of the reaction: R-X + glutathione = H-X + R-S-glutathione. R may be an aliphatic, aromatic or heterocyclic group; X may be a sulfate, nitrile or halide group.	molecular_function
evm.model.CP144690.1_RagTag.3347	GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.	molecular_function
evm.model.CP144694.1_RagTag.3322	GO:0005737	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	cellular_component
evm.model.CP144697.1_RagTag.1674	GO:0010020	chloroplast fission	The division of a chloroplast within a cell to form two or more separate chloroplast compartments. This division occurs independently of mitosis.	biological_process
evm.model.CP144690.1_RagTag.2647	GO:0005509	calcium ion binding	Binding to a calcium ion (Ca2+).	molecular_function
evm.model.CP144693.1_RagTag.1186	GO:0048544	recognition of pollen	A cell recognition process in which pollen is recognized and either accepted or rejected by cells in the stigma.	biological_process
evm.model.CP144695.1_RagTag.2318	GO:0003700	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	molecular_function
evm.model.CP144693.1_RagTag.885	GO:0043231	intracellular membrane-bounded organelle	Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane.	cellular_component
evm.model.CP144696.1_RagTag.1025	GO:0005829	cytosol	The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.	cellular_component
evm.model.CP144690.1_RagTag.1007	GO:0000118	histone deacetylase complex	A protein complex that possesses histone deacetylase activity.	cellular_component
evm.model.CP144693.1_RagTag.294	GO:0003676	nucleic acid binding	Binding to a nucleic acid.	molecular_function
evm.model.CP144697.1_RagTag.2563	GO:0008270	zinc ion binding	Binding to a zinc ion (Zn).	molecular_function
evm.model.CP144695.1_RagTag.3656	GO:0048544	recognition of pollen	A cell recognition process in which pollen is recognized and either accepted or rejected by cells in the stigma.	biological_process
evm.model.CP144691.1_RagTag.1627	GO:0015297	antiporter activity	Enables the active transport of a solute across a membrane by a mechanism whereby two or more species are transported in opposite directions in a tightly coupled process not directly linked to a form of energy other than chemiosmotic energy. The reaction is: solute A(out) + solute B(in) = solute A(in) + solute B(out).	molecular_function
evm.model.CP144698.1_RagTag.1557	GO:0005886	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
evm.model.CP144690.1_RagTag.3963	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	Binding to a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in cis relative to the transcription start site (i.e., on the same strand of DNA) of a gene transcribed by RNA polymerase II.	molecular_function
evm.model.CP144699.1_RagTag.2131	GO:0003006	developmental process involved in reproduction	A developmental process in which a progressive change in the state of some part of an organism, germline or somatic, specifically contributes to its ability to form offspring.	biological_process
evm.model.CP144695.1_RagTag.613	GO:0022857	transmembrane transporter activity	Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.	molecular_function
evm.model.CP144697.1_RagTag.2549	GO:0005515	protein binding	Binding to a protein.	molecular_function
evm.model.CP144697.1_RagTag.3515	GO:0051537	2 iron, 2 sulfur cluster binding	Binding to a 2 iron, 2 sulfur (2Fe-2S) cluster; this cluster consists of two iron atoms, with two inorganic sulfur atoms found between the irons and acting as bridging ligands.	molecular_function
evm.model.CP144699.1_RagTag.2965	GO:0004672	protein kinase activity	Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.	molecular_function
evm.model.CP144693.1_RagTag.1941	GO:0009416	response to light stimulus	Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light.	biological_process
evm.model.CP144697.1_RagTag.1826	GO:0048564	photosystem I assembly	The aggregation, arrangement and bonding together of a set of components to form a photosystem I complex on the thylakoid membrane.	biological_process
evm.model.contig_1185.6	GO:0003723	RNA binding	Binding to an RNA molecule or a portion thereof.	molecular_function
evm.model.CP144696.1_RagTag.502	GO:0030570	pectate lyase activity	Catalysis of the reaction: a pectate = a pectate + a pectate oligosaccharide with 4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate end. This reaction is the eliminative cleavage of pectate to give oligosaccharides with 4-deoxy-alpha-D-gluc-4-enuronosyl groups at their non-reducing ends.	molecular_function
evm.model.CP144699.1_RagTag.348	GO:0009765	photosynthesis, light harvesting	Absorption and transfer of the energy absorbed from light photons between photosystem reaction centers.	biological_process
evm.model.CP144698.1_RagTag.1705	GO:0015267	channel activity	Enables the energy-independent facilitated diffusion of a solute through a transmembrane aqueous pore or channel. Stereospecificity is not exhibited but this transport may be specific for a particular molecular species or class of molecules.	molecular_function
evm.model.CP144696.1_RagTag.2316	GO:0003700	DNA-binding transcription factor activity	A transcription regulator activity that modulates transcription of gene sets via selective and non-covalent binding to a specific double-stranded genomic DNA sequence (sometimes referred to as a motif) within a cis-regulatory region. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.	molecular_function
evm.model.CP144692.1_RagTag.2864	GO:0005737	cytoplasm	The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.	cellular_component
evm.model.CP144694.1_RagTag.673	GO:0030599	pectinesterase activity	Catalysis of the reaction: pectin + n H2O = n methanol + pectate.	molecular_function
